OH_NUM,NOM,V_USAGE,NOM_USAGE,PORTEE,DATE_DEB,FIAB_APP,DATE_FIN,FIAB_DISP,REFERENCE,REMARQUES,geom_wkt,V_URB,deb_zone_ID,deb_zone_nom,deb_zone_urb,deb_zone_densite,deb_zone_urb2
2089,"habitation, Paul-Louis-Courier (rue) 14",37,habitat,1,1300,4,2015,,Marot 2013,batiment et parcelle,POINT(525284.6003 6701981.486),3,EU_11,suburbium_sm,T,2,A
2090,"habitation, Longue-Echelle (rue de la) 20",37,habitat,1,1300,3,2015,,Marot 2013,batiment seul (parcelle incertaine),POINT(525093.2909 6701764.9528),3,EU_11,suburbium_sm,T,2,A
2091,"Porte, Change (rue du)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,batiment seul,POINT(525171.8679 6701854.184),2,EU_11,suburbium_sm,T,2,A
2092,"Batiment ecclesiastique, Rapin (rue) 1bis",43,bâtiments conventuels ou monastiques,2,900,4,1200,3,Marot 2013,batiment seul (parcelle incertaine),POINT(525208.5274 6701688.9135),4,EU_06,centre_sm_E2,T,3,A
2093,"habitation, Rapin (rue) 1bis",43,bâtiments conventuels ou monastiques,1,1400,4,1790,2,Marot 2013,batiment et parcelle,POINT(525192.9721 6701685.817),4,EU_19,chateauneuf_S,T,3,A
2094,"habitation, Baleschoux (rue) 14 / Nericault-Destouches (rue) 39",43,bâtiments conventuels ou monastiques,1,1100,3,1790,2,Marot 2013,batiment seul (parcelle incertaine),POINT(525326.1006 6701670.8461),4,EU_06,centre_sm_E2,T,3,A
2095,"Porte, Bons-Enfants (rue)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,batiment seul,POINT(525286.5219 6701842.8441),2,EU_11,suburbium_sm,T,2,A
2096,"habitation, President-Merville (rue du) 17",37,habitat,1,1000,4,1400,4,Marot 2013,batiment seul (parcelle incertaine),POINT(525316.0184 6701835.3549),3,EU_11,suburbium_sm,T,2,A
2097,"habitation, Chateauneuf (place de) 15",37,habitat,1,1375,3,2015,,Marot 2013,batiment et parcelle,POINT(525213.0858 6701845.6179),3,EU_20,chateauneuf_N,T,2,A
2098,"eglise Notre-Dame de l'Ecrignole, Chateauneuf (place de) 1 / Halles (rue des),",42,édifices culturels catholiques,1,1000,3,1782,1,Marot 2013,batiment seul (parcelle incertaine),POINT(525273.6801 6701790.6422),4,EU_06,centre_sm_E2,T,3,A
2099,"habitation, Chateauneuf (place de) 15",37,habitat,1,1300,3,1375,3,Marot 2013,batiment seul,POINT(525218.1182 6701851.0039),3,EU_11,suburbium_sm,T,2,A
2301,"cloitre de Saint-Martin, Rapin (rue)",43,bâtiments conventuels ou monastiques,2,900,3,1790,2,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) (un mur conserve),POINT(525196.5255 6701692.348),4,EU_06,centre_sm_E2,T,3,A
2302,"habitation, Paix (rue de la) 25",37,habitat,1,1100,3,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine),POINT(525173.8031 6701960.8256),3,EU_11,suburbium_sm,T,2,A
2303,"habitation, Arbalete (rue de l') 13",37,habitat,1,1816,1,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment et parcelle / construction 1100-3,POINT(525094.0138 6701858.0634),3,EU_29,tours_sm,T,3,A
2304,basilique Saint-Martin,42,édifices culturels catholiques,4,1200,3,1300,3,"Lelong C., Martin P., Marot 2013",batiment seul,POINT(525208.5922 6701761.0159),4,EU_06,centre_sm_E2,T,3,A
2305,"eglise Sainte-Croix, Chateauneuf (rue de) 17-21",42,édifices culturels catholiques,1,1000,3,1200,3,"Ranjard R., Marot 2013",emprise inconnue (point),POINT(525141.5235 6701809.5861),4,EU_11,suburbium_sm,T,2,A
2306,"eglise Sainte-Croix, Chateauneuf (rue de) 17-21",42,édifices culturels catholiques,1,1200,3,1450,2,"Ranjard R., Marot 2013",emprise incertaine (point),POINT(525141.5235 6701809.5861),4,EU_11,suburbium_sm,T,2,A
2307,"habitation, Monnaie (rue de la) 19 / Orfevres (rue des) 8",37,habitat,1,1200,4,1400,3,"Garrigou Grandchamp 2006, Marot 2013",batiment seul,POINT(525196.3919 6701892.1594),3,EU_11,suburbium_sm,T,2,A
2308,"habitation, Briconnet (rue) 18bis",37,habitat,1,1500,4,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1250-3,POINT(525143.6793 6702020.7341),3,EU_26,tours_E1_N,T,2,A
2309,"habitation, Briconnet (rue) 20",37,habitat,1,1500,4,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1200-4,POINT(525146.3594 6702013.2487),3,EU_26,tours_E1_N,T,2,A
2310,"habitation, Briconnet (rue) 24",37,habitat,1,1500,4,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1200-3,POINT(525147.9414 6701994.7312),3,EU_26,tours_E1_N,T,2,A
2311,"habitation, Briconnet (rue) 26",37,habitat,1,1500,4,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1200-3,POINT(525146.7717 6701986.1133),3,EU_26,tours_E1_N,T,2,A
2312,"habitation, Henri-Royer (rue) 6",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment et parcelle / construction 1100-3,POINT(525129.8181 6701814.1437),3,EU_27,tours_E2_N,T,2,A
2313,"habitation, Baleschoux (rue) 8",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1200-3,POINT(525315.1035 6701752.7661),3,EU_19,chateauneuf_S,T,3,A
2314,"habitation, Baleschoux (rue) 16",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1275-2,POINT(525296.1343 6701677.0602),3,EU_19,chateauneuf_S,T,3,A
2315,"habitation, Baleschoux (rue) 5",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment et parcelle / construction 1200-4,POINT(525287.903 6701714.7711),3,EU_19,chateauneuf_S,T,3,A
2316,"habitation, Descartes (rue) 12",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1175-2,POINT(525249.264 6701659.8854),3,EU_19,chateauneuf_S,T,3,A
2317,"habitation, Descartes (rue) 12bis",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1150-2,POINT(525252.5642 6701650.6052),3,EU_19,chateauneuf_S,T,3,A
2318,"habitation, Rapin (rue) 4",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1275-2,POINT(525213.7066 6701674.8336),3,EU_19,chateauneuf_S,T,3,A
2319,"habitation, Paix (rue de la) 21",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment et parcelle / construction 1250-2,POINT(525167.9306 6701992.313),3,EU_27,tours_E2_N,T,2,A
2320,"eglise Sainte-Croix, Chateauneuf (rue de) 17-21",37,habitat,1,1790,2,2015,,"Ranjard R., Marot 2013",batiment seul (parcelle incertaine) / construction 1450-2,POINT(525141.5235 6701809.5861),3,EU_27,tours_E2_N,T,2,A
2321,"habitation, Baleschoux (rue) 7",37,habitat,1,1790,2,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1200-4,POINT(525262.7893 6701707.6933),3,EU_19,chateauneuf_S,T,3,A
2322,"habitation, Baleschoux (rue) 10",37,habitat,1,1790,2,1940,1,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1100-3,POINT(525311.3393 6701736.8638),3,EU_19,chateauneuf_S,T,3,A
2323,"habitation, Gaston-Paillhou (place) 22",37,habitat,1,1790,2,2015,,Marot 2013,batiment seul (parcelle incertaine) / construction 1100-4,POINT(525123.0404 6701643.3507),3,EU_19,chateauneuf_S,T,3,A
2324,"habitation, Gaston-Paillhou (place) 22",37,habitat,1,1790,2,1875,1,Marot 2013,batiment seul (parcelle incertaine) / construction 1100-4,POINT(525122.7579 6701634.7868),3,EU_19,chateauneuf_S,T,3,A
