"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"140","973",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1150,4,FALSE,FALSE,2,1,"tour, mur W (rempart BE)",21,"système défensif urbain","2",2
"141","974",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1150,4,FALSE,FALSE,2,1,"tour, mur W (rempart BE)",21,"système défensif urbain","2",2
"142","975",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1658,2,FALSE,FALSE,0,0,"tour W, mur S (rempart BE)",21,"système défensif urbain","2",2
"143","976",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1150,4,FALSE,FALSE,2,1,"tour hexagonale N, mur W (rempart BE)",21,"système défensif urbain","2",2
"144","977",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"tronçon mur W sous rue Albert Thomas (rempart BE)",21,"système défensif urbain","2",2
"145","978",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"tronçon mur W (rempart BE)",21,"système défensif urbain","2",2
"146","979",300,549,"EU_03","cite_castrum","urbaine","2",300,1658,4,FALSE,FALSE,0,1,"cloaque ?, mur S (rempart BE)",21,"système défensif urbain","2",2
"147","980",300,549,"EU_03","cite_castrum","urbaine","2",300,1658,4,FALSE,FALSE,0,1,"tronçon mur S, sous chapelle (rempart BE)",21,"système défensif urbain","2",2
"148","981",300,549,"EU_03","cite_castrum","urbaine","2",300,1658,4,FALSE,FALSE,0,1,"poterne W, mur S (rempart BE)",21,"système défensif urbain","2",2
"149","982",50,130,"EU_01","ville_ouverte_1","urbaine","2",50,130,1,FALSE,FALSE,0,0,"1er etat de l'amphitheatre",35,"spectacles, sports","3",3
"150","983",1044,1049,"EU_13","cite_NE_2","urbaine","2",1044,1200,2,FALSE,FALSE,0,0,"residence des comtes d'Anjou",32,"pouvoir civil, justice","3",3
"151","984",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W (rempart BE)",21,"système défensif urbain","2",2
"152","986",1470,1592,NA,NA,"non urbaine","0",1470,1592,1,FALSE,FALSE,0,0,"tour de l'enceinte 14e (tour Chievre) (site 48)",21,"système défensif urbain","2",2
"153","988",1275,1355,"EU_11","suburbium_sm","urbaine","2",1275,2015,7,FALSE,FALSE,0,1,"habitation, Cerisiers (rue des) 21",37,"habitat","3",1
"154","989",1200,1355,"EU_11","suburbium_sm","urbaine","2",1200,1500,3,FALSE,FALSE,0,0,"habitation, Grille (rue de la)",37,"habitat","3",1
"155","990",1100,1355,"EU_11","suburbium_sm","urbaine","2",1100,2015,7,FALSE,FALSE,0,1,"habitation, Cerisiers (rue des) 17",37,"habitat","3",1
"156","991",1100,1355,"EU_11","suburbium_sm","urbaine","2",1100,2015,7,FALSE,FALSE,0,1,"habitation, Bretonneau (rue) 31",37,"habitat","3",1
"157","992",1100,1355,"EU_11","suburbium_sm","urbaine","2",1100,2015,7,FALSE,FALSE,0,1,"habitation, Bretonneau (rue) 27",37,"habitat","3",1
"158","993",1200,1355,"EU_11","suburbium_sm","urbaine","2",1200,2015,7,FALSE,FALSE,0,1,"habitation, Bretonneau (rue) 27",37,"habitat","3",1
"159","994",1100,1355,"EU_11","suburbium_sm","urbaine","2",1100,1475,2,FALSE,FALSE,0,0,"habitation, Bretonneau (rue) 39",37,"habitat","3",1
