"","OH_NUM","DATE_DEB","DATE_FIN","V_USAGE","V_URB","PORTEE","p_1","p_2","p_3","p_4","urb_1","urb_2","urb_3","urb_4","urb_5","urb_6"
"252",1281,919,1080,"13","1","2",0,5,0,0,5,0,0,0,0,0
"253",1282,919,1080,"13","1","2",0,7,0,0,7,0,0,0,0,0
"254",1283,919,1080,"13","1","2",0,7,0,0,7,0,0,0,0,0
"255",1284,919,1080,"13","1","2",0,7,0,0,7,0,0,0,0,0
"256",1285,919,1080,"13","1","2",0,3,0,0,3,0,0,0,0,0
"257",1286,50,400,"13","1","2",4,9,2,0,14,0,1,0,0,0
"258",1287,40,300,"15","1","3",0,0,4,0,4,0,0,0,0,0
"259",1288,40,300,"15","1","3",0,0,4,0,4,0,0,0,0,0
"260",1289,40,300,"15","1","3",0,0,6,0,6,0,0,0,0,0
"261",1290,40,300,"15","1","3",0,0,4,0,4,0,0,0,0,0
"262",1291,40,300,"15","1","3",2,2,5,0,9,0,0,0,0,0
"263",1292,300,1034,"15","1","3",0,0,2,0,2,0,0,0,0,0
"264",1293,300,1034,"15","1","3",0,13,1,0,2,12,0,0,0,0
"265",1294,300,1034,"15","1","3",0,0,3,0,3,0,0,0,0,0
"266",1310,50,400,"13","1","2",1,4,2,0,7,0,0,0,0,0
"267",1743,1500,1800,"16","1","2",0,0,0,0,0,0,0,0,0,0
"268",28,1023,1790,"42","4","1",1,15,0,1,0,14,0,3,0,0
"269",31,1140,1350,"42","4","1",2,1,0,0,0,0,0,2,1,0
"270",36,1140,1800,"42","4","1",2,1,0,0,0,0,0,2,1,0
"271",46,1000,1778,"42","4","1",3,13,0,0,0,12,0,3,1,0
"272",47,1100,1790,"42","4","1",7,23,0,0,2,19,1,7,1,0
"273",108,15,40,"37","3","1",0,0,0,0,0,0,0,0,0,0
"274",109,40,300,"37","3","1",4,0,0,0,0,0,4,0,0,0
"275",111,140,500,"61","6","1",4,0,0,0,0,0,4,0,0,0
"276",112,300,500,"37","3","1",4,10,0,0,0,10,3,0,0,1
"277",113,40,125,"37","3","1",4,0,0,0,0,0,4,0,0,0
"278",114,125,225,"37","3","1",4,0,0,0,0,0,4,0,0,0
"279",115,40,300,"37","3","1",4,0,0,0,0,0,4,0,0,0
"280",116,40,160,"37","3","1",4,0,0,0,0,0,4,0,0,0
"281",117,160,500,"37","3","1",5,0,0,0,0,0,4,0,0,1
"282",118,450,688,"37","3","1",3,8,1,0,0,8,2,1,0,1
"283",119,619,688,"51","5","2",1,0,0,0,0,0,1,0,0,0
