"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"109","221",470,471,"EU_05","centre_sm_1","intermediaire","1",470,471,1,FALSE,FALSE,0,0,"STR ? atelier mosa´ste (site 7, zone 3)",62,"artisanat, ateliers","6",1
"110","222",450,500,"EU_05","centre_sm_1","intermediaire","1",450,500,1,FALSE,FALSE,0,0,"cabane excavee (site 7, zone 5)",44,"bâtiments ecclésiastiques","4",4
"111","236",40,200,"EU_01","ville_ouverte_1","urbaine","2",40,200,1,FALSE,FALSE,0,0,"ensemble monumental, batiment 1 (M29/M7) (site 1)",19,"édifice monumental indéterminé","1",2
"112","237",150,250,"EU_01","ville_ouverte_1","urbaine","2",150,250,1,FALSE,FALSE,0,0,"bat. 3-4-5 (site1)",62,"artisanat, ateliers","6",1
"113","240",20,100,"EU_01","ville_ouverte_1","urbaine","2",20,100,1,FALSE,FALSE,0,0,"TOTA (site 8)",37,"habitat","3",1
"114","241",100,850,NA,NA,"non urbaine","0",100,850,1,FALSE,FALSE,0,0,"quai/terrasse (M10) (site 8)",13,"aménagement des berges","1",2
"115","245",400,899,NA,NA,"non urbaine","0",400,900,2,FALSE,FALSE,1,1,"sepultures (site 8)",51,"aire funéraire","5",2
"116","245",900,900,"EU_11","suburbium_sm","urbaine","2",400,900,2,TRUE,TRUE,1,1,"sepultures (site 8)",51,"aire funéraire","5",2
"117","253",500,549,"EU_03","cite_castrum","urbaine","2",500,700,2,FALSE,FALSE,0,0,"terres noires (site 3)",37,"habitat","3",1
"118","253",550,700,"EU_09","cite_NE_1","urbaine","2",500,700,2,FALSE,FALSE,0,0,"terres noires (site 3)",37,"habitat","3",1
"119","256",-25,40,NA,NA,"non urbaine","0",-50,40,1,FALSE,FALSE,0,0,"alluvions, lit de la Loire (site 16)",13,"aménagement des berges","1",1
"120","257",40,400,NA,NA,"non urbaine","0",40,400,1,FALSE,FALSE,0,0,"M26 (site 16)",13,"aménagement des berges","1",2
"121","258",40,400,NA,NA,"non urbaine","0",40,400,1,FALSE,FALSE,0,0,"alluvions, lit de la Loire (site 16)",13,"aménagement des berges","1",1
"122","401",1,120,NA,NA,"non urbaine","0",1,120,1,FALSE,FALSE,0,0,"graviers, lit de la Loire (site 69)",13,"aménagement des berges","1",1
"123","402",20,60,"EU_01","ville_ouverte_1","urbaine","2",20,60,1,FALSE,FALSE,0,0,"batiment A (site 64)",37,"habitat","3",1
"124","403",40,60,"EU_01","ville_ouverte_1","urbaine","2",40,60,1,FALSE,FALSE,0,0,"fosse de drainage (F538) (site 64)",17,"collecteurs, évacuations","1",2
"125","404",40,60,"EU_01","ville_ouverte_1","urbaine","2",40,60,1,FALSE,FALSE,0,0,"canal de drainage (F710) (site 64)",17,"collecteurs, évacuations","1",2
"126","405",40,60,"EU_01","ville_ouverte_1","urbaine","2",40,60,1,FALSE,FALSE,0,0,"occupation bronzier (site 64)",62,"artisanat, ateliers","6",1
"127","406",60,70,"EU_01","ville_ouverte_1","urbaine","2",60,70,1,FALSE,FALSE,0,0,"edifice monumental, thermes (site 64)",36,"bains, thermes","3",2
"128","407",70,299,"EU_01","ville_ouverte_1","urbaine","2",70,300,2,FALSE,FALSE,0,1,"edifice monumental, thermes (site 64)",36,"bains, thermes","3",2
"129","407",300,300,"EU_02","ville_ouverte_O","urbaine","1",70,300,2,FALSE,TRUE,0,1,"edifice monumental, thermes (site 64)",36,"bains, thermes","3",2
"130","409",680,1280,NA,NA,"non urbaine","0",680,1280,1,FALSE,FALSE,0,0,"sepultures (site 64)",51,"aire funéraire","5",2
"131","410",120,225,NA,NA,"non urbaine","0",120,225,1,FALSE,FALSE,0,0,"depotoire avec graviers, lit de la Loire (site 69)",13,"aménagement des berges","1",1
"132","411",225,1100,NA,NA,"non urbaine","0",225,1100,1,FALSE,FALSE,0,0,"graviers, lit de la Loire (site 69)",13,"aménagement des berges","1",1
"133","601",100,250,"EU_01","ville_ouverte_1","urbaine","2",100,250,1,FALSE,FALSE,0,0,"Batiment meridional (site 15)",37,"habitat","3",1
"134","604",25,60,"EU_01","ville_ouverte_1","urbaine","2",25,60,1,FALSE,FALSE,0,0,"Ocupation a vocation artisanale (site 15)",62,"artisanat, ateliers","6",1
"135","605",60,250,"EU_01","ville_ouverte_1","urbaine","2",60,250,1,FALSE,FALSE,0,0,"Batiment septentrional (site 15)",37,"habitat","3",1
"136","803",130,250,"EU_01","ville_ouverte_1","urbaine","2",130,250,1,FALSE,FALSE,0,0,"2nd etat de l'amphitheatre",35,"spectacles, sports","3",3
"137","804",250,299,"EU_01","ville_ouverte_1","urbaine","2",250,350,3,FALSE,FALSE,1,2,"fosse/valum, fortification de l'amphi (site 6)",22,"structures fortifiées","2",2
"138","804",300,349,"EU_02","ville_ouverte_O","urbaine","1",250,350,3,FALSE,TRUE,1,2,"fosse/valum, fortification de l'amphi (site 6)",22,"structures fortifiées","2",2
"139","804",350,350,NA,NA,"non urbaine","0",250,350,3,TRUE,TRUE,1,2,"fosse/valum, fortification de l'amphi (site 6)",22,"structures fortifiées","2",2
